CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
1495,43159,90356,NA,NA,NA,NA
1498,32155,56121,NA,NA,NA,NA
1499,35156,65034,NA,NA,NA,NA
1502,88484,71309,13319,35001,NA,NA
1507,61876,55733,NA,NA,NA,NA
1512,82294,25167,NA,NA,NA,NA
1517,44938,58293,16375,NA,NA,NA
1519,65661,65198,22460,NA,NA,NA
1522,96272,NA,NA,NA,NA,NA
1524,50884,21086,11297,NA,NA,NA
1525,27481,55469,17788,13550,76015,NA
1531,89534,NA,NA,NA,NA,NA
1532,75482,39785,77123,21872,NA,NA
1533,79235,42112,NA,NA,NA,NA
1534,64534,24310,NA,NA,NA,NA
1538,84083,38861,NA,NA,NA,NA
1539,31326,65312,NA,NA,NA,NA
1540,99284,NA,NA,NA,NA,NA
1541,84442,65841,NA,NA,NA,NA
1544,61241,41510,47703,NA,NA,NA
1546,33345,94989,88818,NA,NA,NA
1548,35863,79559,NA,NA,NA,NA
1549,68602,91874,36323,32933,NA,NA
1551,97574,29895,NA,NA,NA,NA
1552,38960,NA,NA,NA,NA,NA
1553,31073,NA,NA,NA,NA,NA
1558,85930,NA,NA,NA,NA,NA
1559,48486,83862,NA,NA,NA,NA
1562,81283,NA,NA,NA,NA,NA
1564,43224,58795,NA,NA,NA,NA
1566,63419,51176,89614,56475,25300,NA
1571,98566,41374,NA,NA,NA,NA
1579,63443,NA,NA,NA,NA,NA
1581,23715,27796,NA,NA,NA,NA
1583,19451,67380,NA,NA,NA,NA
1584,41722,76052,NA,NA,NA,NA
1587,89398,86362,NA,NA,NA,NA
1592,28442,66869,NA,NA,NA,NA
1593,15039,30838,NA,NA,NA,NA
1596,38717,78043,64017,97820,41275,78796
1598,16947,76167,NA,NA,NA,NA
1599,41781,NA,NA,NA,NA,NA
1600,52254,38612,32262,77264,NA,NA
1605,59753,57706,NA,NA,NA,NA
1606,22621,97063,NA,NA,NA,NA
1608,37352,NA,NA,NA,NA,NA
1609,73051,89259,NA,NA,NA,NA
1610,34524,21067,NA,NA,NA,NA
1616,86814,69477,NA,NA,NA,NA
1617,77390,68749,75734,NA,NA,NA
1623,67408,NA,NA,NA,NA,NA
1625,42573,32972,NA,NA,NA,NA
1629,18447,59444,NA,NA,NA,NA
1634,21776,NA,NA,NA,NA,NA
1638,92422,74662,29275,49802,NA,NA
1639,92597,26203,31453,73653,NA,NA
1640,54935,31905,NA,NA,NA,NA
1642,18927,98551,43531,NA,NA,NA
1648,40981,25947,17976,NA,NA,NA
1649,77788,41461,61041,89921,NA,NA
1650,62347,12697,22473,41716,38903,27079
1652,58857,NA,NA,NA,NA,NA
1655,15499,53276,NA,NA,NA,NA
1656,20335,75000,NA,NA,NA,NA
1657,89188,52511,NA,NA,NA,NA
1658,79817,10587,NA,NA,NA,NA
1661,49042,NA,NA,NA,NA,NA
